DecimalValue,LoggerId,Time
4.33,110,"2020-12-17 16:24:48.000000"
3.31,206,"2020-12-17 16:25:25.000000"
4.30,110,"2020-12-17 16:25:27.000000"
3.33,206,"2020-12-17 16:31:19.000000"
4.28,110,"2020-12-17 16:31:25.000000"
3.39,206,"2020-12-17 16:33:14.000000"
4.30,110,"2020-12-17 16:33:28.000000"
3.32,206,"2020-12-17 16:34:59.000000"
4.28,110,"2020-12-17 16:34:52.000000"
3.32,206,"2020-12-17 16:35:29.000000"
4.28,110,"2020-12-17 16:35:28.000000"
3.39,206,"2020-12-17 16:37:29.000000"
4.33,110,"2020-12-17 16:37:29.000000"
3.35,206,"2020-12-17 16:39:23.000000"
4.28,110,"2020-12-17 16:39:26.000000"
3.35,206,"2020-12-17 16:39:53.000000"
4.28,110,"2020-12-17 16:39:38.000000"
3.38,206,"2020-12-17 16:41:26.000000"
4.33,110,"2020-12-17 16:41:29.000000"
3.36,206,"2020-12-17 16:43:27.000000"
4.30,110,"2020-12-17 16:43:29.000000"
3.36,206,"2020-12-17 16:49:24.000000"
4.29,110,"2020-12-17 16:49:27.000000"
3.36,206,"2020-12-17 16:49:45.000000"
4.29,110,"2020-12-17 16:49:09.000000"
3.43,206,"2020-12-17 16:51:21.000000"
4.34,110,"2020-12-17 16:51:30.000000"
3.47,206,"2020-12-17 16:57:28.000000"
4.37,110,"2020-12-17 16:57:21.000000"
3.44,206,"2020-12-17 16:59:22.000000"
4.33,110,"2020-12-17 16:59:22.000000"
3.44,206,"2020-12-17 16:59:58.000000"
4.33,110,"2020-12-17 16:59:40.000000"
3.52,206,"2020-12-17 17:01:16.000000"
4.35,110,"2020-12-17 17:01:22.000000"
3.46,206,"2020-12-17 17:03:28.000000"
4.33,110,"2020-12-17 17:03:16.000000"
3.47,206,"2020-12-17 17:04:59.000000"
4.34,110,"2020-12-17 17:04:55.000000"
3.47,206,"2020-12-17 17:04:56.000000"
4.34,110,"2020-12-17 17:05:22.000000"
3.48,206,"2020-12-17 17:07:26.000000"
4.33,110,"2020-12-17 17:07:28.000000"
3.57,206,"2020-12-17 17:11:29.000000"
4.36,110,"2020-12-17 17:11:23.000000"
3.47,206,"2020-12-17 17:13:30.000000"
4.35,110,"2020-12-17 17:13:29.000000"
3.49,206,"2020-12-17 17:14:57.000000"
4.35,110,"2020-12-17 17:14:59.000000"
3.53,206,"2020-12-17 17:15:24.000000"
4.36,110,"2020-12-17 17:15:23.000000"
3.52,206,"2020-12-17 17:17:24.000000"
4.35,110,"2020-12-17 17:17:29.000000"
3.53,206,"2020-12-17 17:19:18.000000"
4.34,110,"2020-12-17 17:19:30.000000"
3.53,206,"2020-12-17 17:19:57.000000"
4.34,110,"2020-12-17 17:20:00.000000"
3.60,206,"2020-12-17 17:21:12.000000"
4.37,110,"2020-12-17 17:21:03.000000"
3.52,206,"2020-12-17 17:23:27.000000"
4.34,110,"2020-12-17 17:23:27.000000"
3.55,206,"2020-12-17 17:24:52.000000"
4.34,110,"2020-12-17 17:24:51.000000"
3.56,206,"2020-12-17 17:25:25.000000"
4.37,110,"2020-12-17 17:25:27.000000"
3.59,206,"2020-12-17 17:27:25.000000"
4.38,110,"2020-12-17 17:27:24.000000"
3.55,206,"2020-12-17 17:29:19.000000"
4.35,110,"2020-12-17 17:29:28.000000"
3.55,206,"2020-12-17 17:29:58.000000"
4.35,110,"2020-12-17 17:29:58.000000"
3.59,206,"2020-12-17 17:31:19.000000"
4.36,110,"2020-12-17 17:31:22.000000"
3.55,206,"2020-12-17 17:33:28.000000"
4.35,110,"2020-12-17 17:33:28.000000"
3.55,206,"2020-12-17 17:34:59.000000"
4.36,110,"2020-12-17 17:34:52.000000"
3.57,206,"2020-12-17 17:35:29.000000"
4.36,110,"2020-12-17 17:35:25.000000"
3.62,206,"2020-12-17 17:37:29.000000"
4.38,110,"2020-12-17 17:37:25.000000"
3.58,206,"2020-12-17 17:39:26.000000"
4.38,110,"2020-12-17 17:39:25.000000"
3.58,206,"2020-12-17 17:39:59.000000"
4.38,110,"2020-12-17 17:39:56.000000"
3.60,206,"2020-12-17 17:41:26.000000"
4.36,110,"2020-12-17 17:41:05.000000"
3.64,206,"2020-12-17 17:42:41.000000"
4.39,110,"2020-12-17 17:43:26.000000"
3.57,206,"2020-12-17 17:44:57.000000"
4.37,110,"2020-12-17 17:44:59.000000"
3.56,206,"2020-12-17 17:45:30.000000"
4.37,110,"2020-12-17 17:45:20.000000"
3.59,206,"2020-12-17 17:49:24.000000"
4.39,110,"2020-12-17 17:49:29.000000"
3.59,206,"2020-12-17 17:49:54.000000"
4.39,110,"2020-12-17 17:49:53.000000"
3.60,206,"2020-12-17 17:51:24.000000"
4.41,110,"2020-12-17 17:51:27.000000"
3.67,206,"2020-12-17 17:53:24.000000"
4.45,110,"2020-12-17 17:53:27.000000"
3.61,206,"2020-12-17 17:54:52.000000"
3.71,165,"2020-12-17 17:54:46.000000"
4.41,110,"2020-12-17 17:54:27.000000"
3.59,206,"2020-12-17 17:55:25.000000"
3.68,165,"2020-12-17 17:55:22.000000"
4.39,110,"2020-12-17 17:55:27.000000"
3.68,206,"2020-12-17 17:57:28.000000"
3.70,165,"2020-12-17 17:57:26.000000"
4.42,110,"2020-12-17 17:57:27.000000"
3.67,206,"2020-12-17 17:59:28.000000"
3.91,149,"2020-12-17 17:59:25.000000"
3.75,165,"2020-12-17 17:59:29.000000"
4.43,110,"2020-12-17 17:59:24.000000"
21.36,181,"2020-12-17 17:59:58.000000"
3.67,206,"2020-12-17 17:59:43.000000"
3.89,149,"2020-12-17 17:59:53.000000"
3.75,165,"2020-12-17 17:59:59.000000"
21.46,112,"2020-12-17 17:59:59.000000"
21.40,154,"2020-12-17 17:59:51.000000"
21.47,158,"2020-12-17 18:00:00.000000"
21.52,161,"2020-12-17 17:59:57.000000"
4.43,110,"2020-12-17 17:59:58.000000"
21.40,130,"2020-12-17 17:59:50.000000"
21.51,180,"2020-12-17 17:59:51.000000"
21.39,154,"2020-12-17 18:01:18.000000"
21.50,161,"2020-12-17 18:01:27.000000"
21.35,181,"2020-12-17 18:01:25.000000"
3.64,206,"2020-12-17 18:01:22.000000"
3.88,149,"2020-12-17 18:01:29.000000"
3.70,165,"2020-12-17 18:01:23.000000"
21.35,130,"2020-12-17 18:01:23.000000"
21.45,112,"2020-12-17 18:01:30.000000"
4.39,110,"2020-12-17 18:01:28.000000"
21.53,180,"2020-12-17 18:01:27.000000"
21.50,158,"2020-12-17 18:01:21.000000"
21.40,154,"2020-12-17 18:02:36.000000"
21.52,161,"2020-12-17 18:03:27.000000"
21.35,181,"2020-12-17 18:03:28.000000"
3.70,206,"2020-12-17 18:03:28.000000"
3.89,149,"2020-12-17 18:03:29.000000"
3.72,165,"2020-12-17 18:03:26.000000"
21.37,130,"2020-12-17 18:03:30.000000"
21.46,112,"2020-12-17 18:03:24.000000"
4.42,110,"2020-12-17 18:03:28.000000"
21.51,180,"2020-12-17 18:03:15.000000"
21.47,158,"2020-12-17 18:03:15.000000"
21.36,181,"2020-12-17 18:04:55.000000"
3.73,206,"2020-12-17 18:04:56.000000"
3.92,149,"2020-12-17 18:04:53.000000"
3.75,165,"2020-12-17 18:04:59.000000"
21.45,112,"2020-12-17 18:04:54.000000"
21.37,154,"2020-12-17 18:04:51.000000"
21.48,158,"2020-12-17 18:04:54.000000"
21.51,161,"2020-12-17 18:04:52.000000"
4.43,110,"2020-12-17 18:04:58.000000"
21.37,130,"2020-12-17 18:05:00.000000"
21.51,180,"2020-12-17 18:04:54.000000"
21.37,154,"2020-12-17 18:05:12.000000"
21.52,161,"2020-12-17 18:05:25.000000"
21.35,181,"2020-12-17 18:05:22.000000"
3.65,206,"2020-12-17 18:05:29.000000"
